,param_classifier,param_classifier__C,param_classifier__gamma,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision
80,"SVC(C=10.0, gamma=0.001)",10000.0,10000.0,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10000.0, 'classifier__gamma': 10000.0}",0.1106,54,0.9976,0.6383,42,0.9995,-0.3558,52,-0.0004,0.5879,33,0.9991

,accuracy,f1_micro,hamming_loss,precision,model
0,0.2374,0.6876,-0.2746,0.672,binary_relevance_svms
0,0.2374,0.6828,-0.283,0.658,classifier_chain_svms
0,0.2158,0.6908,-0.2866,0.6434,label_powerset_svms

,param_classifier,param_classifier__C,param_classifier__gamma,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision,model
63,"SVC(C=10.0, gamma=0.001)",1000.0,0.0001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1000.0, 'classifier__gamma': 0.0001}",0.1443,2,0.2332,0.6653,1,0.7279,-0.2908,1,-0.2375,0.6612,4,0.7178,binary_relevance_svms
39,"SVC(C=10.0, gamma=0.001)",1.0,0.1,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1.0, 'classifier__gamma': 0.1}",0.137,3,0.582,0.6564,1,0.8726,-0.3037,1,-0.111,0.6414,68,0.8615,classifier_chain_svms
46,"SVC(C=10.0, gamma=0.001)",10.0,0.001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10.0, 'classifier__gamma': 0.001}",0.1851,1,0.2139,0.659,1,0.6729,-0.3193,1,-0.3084,0.6131,3,0.6194,label_powerset_svms

,param_classifier,param_classifier__C,param_classifier__gamma,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision,model
63,"SVC(C=10.0, gamma=0.001)",1000.0,0.0001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1000.0, 'classifier__gamma': 0.0001}",0.1443,2,0.2332,0.6653,1,0.7279,-0.2908,1,-0.2375,0.6612,4,0.7178,binary_relevance_svms
39,"SVC(C=10.0, gamma=0.001)",1.0,0.1,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 1.0, 'classifier__gamma': 0.1}",0.137,3,0.582,0.6564,1,0.8726,-0.3037,1,-0.111,0.6414,68,0.8615,classifier_chain_svms
46,"SVC(C=10.0, gamma=0.001)",10.0,0.001,"{'classifier': SVC(C=10.0, gamma=0.001), 'classifier__C': 10.0, 'classifier__gamma': 0.001}",0.1851,1,0.2139,0.659,1,0.6729,-0.3193,1,-0.3084,0.6131,3,0.6194,label_powerset_svms

