,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_label_ranking_loss,rank_test_label_ranking_loss,mean_train_label_ranking_loss
75,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",-0.3165,74,-0.0063,-0.2532,88,-0.0017
76,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",-0.3117,66,-0.0011,-0.2377,76,0.0
77,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",-0.3134,69,-0.0004,-0.2161,27,0.0
78,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",-0.3799,141,-0.2983,-0.4849,142,-0.3456
79,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",-0.3521,124,-0.2422,-0.3595,123,-0.2224
80,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",-0.3396,108,-0.194,-0.3092,115,-0.141
81,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",-0.3157,71,-0.1569,-0.2456,79,-0.1012
82,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",-0.309,57,-0.1317,-0.2298,68,-0.0757
83,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",-0.3109,64,-0.1097,-0.2249,59,-0.0635
84,"RandomForestClassifier(max_depth=4, n_estimators=64)",16,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",-0.3745,137,-0.2474,-0.4754,141,-0.2647
