,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc,mean_test_average_precision,rank_test_average_precision,mean_train_average_precision,mean_test_label_ranking_average_precision_score,rank_test_label_ranking_average_precision_score,mean_train_label_ranking_average_precision_score
64,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.139,58,0.7238,0.6411,57,0.9213,0.7634,68,0.9788,0.6832,55,0.975,0.7911,35,0.9676
65,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.161,11,0.7615,0.6623,9,0.9353,0.7777,34,0.9845,0.6959,31,0.9826,0.7914,34,0.9762
66,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.0843,123,0.3267,0.529,125,0.7451,0.7005,128,0.8787,0.5833,126,0.8119,0.7027,119,0.8598
67,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.0912,118,0.5056,0.5711,114,0.8436,0.7169,117,0.9422,0.5984,118,0.9165,0.7264,112,0.93
68,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.0816,125,0.6685,0.6211,89,0.9057,0.7449,96,0.9723,0.6525,91,0.9645,0.7644,92,0.9614
69,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.156,25,0.7756,0.6342,70,0.9359,0.7586,80,0.9844,0.6618,84,0.9816,0.7837,68,0.9733
70,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.161,12,0.8381,0.6513,31,0.9559,0.7664,63,0.9913,0.69,44,0.99,0.7858,59,0.9846
71,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",8,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 8, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1467,42,0.8656,0.6467,44,0.9635,0.7717,49,0.9935,0.6962,28,0.9927,0.7935,24,0.9873
72,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.0624,136,0.4428,0.4562,139,0.7967,0.6742,135,0.9246,0.5513,135,0.8652,0.6436,135,0.8899
73,"RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64)",16,,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.75, n_estimators=64), 'classifier__max_depth': 16, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.0767,130,0.7115,0.5124,130,0.9129,0.7007,127,0.98,0.5776,130,0.9617,0.6944,126,0.964
