,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision
113,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1395,82,0.9965,0.637,45,0.9992,-0.3245,36,-0.0007,0.615,36,0.9991
114,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.1058,130,0.5753,0.5883,142,0.808,-0.3703,141,-0.1716,0.5636,141,0.7801
115,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.1008,139,0.8007,0.6192,99,0.9125,-0.348,113,-0.0769,0.5882,115,0.895
116,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1079,129,0.9303,0.6224,77,0.9699,-0.3385,85,-0.026,0.6005,84,0.9662
117,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.132,98,0.9917,0.6376,41,0.997,-0.3224,28,-0.0026,0.6182,24,0.9966
118,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1634,27,0.9968,0.6286,66,0.9992,-0.331,64,-0.0007,0.6079,65,0.9989
119,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",32,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 32, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1585,39,0.9976,0.6366,47,0.9995,-0.3262,45,-0.0004,0.6121,51,0.9997
120,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 2}",0.1012,138,0.6688,0.6005,135,0.8502,-0.356,130,-0.1333,0.5801,129,0.8239
121,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 4}",0.1105,124,0.8908,0.6168,106,0.9503,-0.3553,129,-0.0434,0.5782,131,0.9393
122,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 8}",0.1776,7,0.9762,0.6458,25,0.9907,-0.321,26,-0.008,0.6192,19,0.9888
123,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 16}",0.1299,100,0.9955,0.6199,96,0.9989,-0.3405,93,-0.0009,0.5974,97,0.9988
124,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 32}",0.1541,48,0.9976,0.6319,59,0.9995,-0.3294,57,-0.0004,0.6099,59,0.9995
125,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.1684,19,0.9976,0.6355,50,0.9995,-0.3264,47,-0.0004,0.6126,46,0.9996
126,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.25,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 2}",0.1225,115,0.3018,0.6034,130,0.6816,-0.3585,133,-0.2851,0.5728,139,0.6566
127,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.25,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 4}",0.1034,132,0.4081,0.6135,111,0.7355,-0.351,122,-0.2389,0.583,124,0.7031
128,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.25,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 8}",0.1611,32,0.5422,0.6372,42,0.8004,-0.3294,56,-0.1786,0.6077,66,0.7718
129,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.25,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 16}",0.1679,22,0.6934,0.6208,89,0.8639,-0.3384,84,-0.1208,0.5976,95,0.8388
130,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.25,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 32}",0.1634,27,0.8341,0.6343,52,0.9277,-0.3307,62,-0.0632,0.6052,74,0.9139
131,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.25,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.25, 'classifier__n_estimators': 64}",0.1852,6,0.9164,0.6475,22,0.9654,-0.3193,19,-0.0299,0.6176,27,0.9623
132,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.5,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 2}",0.0913,142,0.4573,0.589,141,0.7599,-0.3726,142,-0.2164,0.5592,142,0.7278
133,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.5,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 4}",0.1032,137,0.6421,0.6044,128,0.8374,-0.3579,132,-0.1449,0.5765,133,0.81
134,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.5,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 8}",0.164,25,0.8205,0.6357,49,0.9218,-0.3242,31,-0.0684,0.6167,29,0.9083
135,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.5,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 16}",0.139,84,0.9458,0.6139,109,0.9759,-0.3471,111,-0.0208,0.5895,114,0.9723
136,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1419,78,0.9858,0.6212,85,0.9945,-0.3381,83,-0.0048,0.6057,73,0.9932
137,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1487,58,0.9971,0.6372,43,0.9993,-0.3263,46,-0.0006,0.6129,44,0.9992
138,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.75,2,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 2}",0.1229,111,0.5863,0.6105,119,0.8123,-0.3525,124,-0.1681,0.5829,125,0.7831
139,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.75,4,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 4}",0.1249,110,0.7911,0.6207,90,0.9061,-0.3497,119,-0.0826,0.5833,123,0.8869
140,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.75,8,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 8}",0.1154,121,0.9351,0.6118,114,0.972,-0.3505,120,-0.0243,0.5849,121,0.9655
141,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.75,16,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 16}",0.1347,89,0.9882,0.6216,83,0.9961,-0.3441,107,-0.0033,0.5914,110,0.9952
142,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.75,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 32}",0.1466,63,0.9973,0.6278,69,0.9993,-0.3366,76,-0.0006,0.6011,82,0.9993
143,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",64,0.75,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 64, 'classifier__max_samples': 0.75, 'classifier__n_estimators': 64}",0.1467,60,0.9976,0.6172,105,0.9995,-0.3412,94,-0.0004,0.598,94,0.9996

,accuracy,f1_micro,hamming_loss,precision,model
0,0.1583,0.6638,-0.2854,0.6695,binary_relevance
0,0.2302,0.6853,-0.283,0.6539,classifier_chains
0,0.2374,0.6701,-0.3058,0.6226,label_powerset

,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision,model
40,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1276,40,0.2767,0.6619,1,0.7561,-0.2869,1,-0.2074,0.6733,11,0.7661,binary_relevance
29,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.197,1,0.351,0.6822,1,0.7791,-0.2821,1,-0.195,0.6648,6,0.7607,classifier_chains
41,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1899,4,0.4434,0.6644,4,0.7705,-0.3045,1,-0.2046,0.6348,1,0.7453,label_powerset

,param_classifier,param_classifier__max_depth,param_classifier__max_samples,param_classifier__n_estimators,params,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_f1_micro,rank_test_f1_micro,mean_train_f1_micro,mean_test_hamming_loss,rank_test_hamming_loss,mean_train_hamming_loss,mean_test_precision,rank_test_precision,mean_train_precision,model
40,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.5,32,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 32}",0.1276,40,0.2767,0.6619,1,0.7561,-0.2869,1,-0.2074,0.6733,11,0.7661,binary_relevance
29,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': None, 'classifier__n_estimators': 64}",0.197,1,0.351,0.6822,1,0.7791,-0.2821,1,-0.195,0.6648,6,0.7607,classifier_chains
41,"RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64)",4,0.5,64,"{'classifier': RandomForestClassifier(max_depth=4, max_samples=0.5, n_estimators=64), 'classifier__max_depth': 4, 'classifier__max_samples': 0.5, 'classifier__n_estimators': 64}",0.1899,4,0.4434,0.6644,4,0.7705,-0.3045,1,-0.2046,0.6348,1,0.7453,label_powerset

